Gene_Name	Alias	Number_of_reads	Normalized_expression	Median	PolyA_class	25%_percentile	75%_percentile	MAX_polyA	MIN_polyA	RANGE_polyA	Mean	Geometric_mean	Standard_deviation	Fop	Codon_class
C50E3.16	folt-3	10	-4.270528942	106	long	95.5	123.5	221	71	150	120.3	114.0493132	42.53480927	0.3625	poor
Y95D11A.3	WP:CE46119	115	-0.746966986	66	short	41	116.5	178	16	162	79.28695652	65.80946759	44.9550046	0.229571984	poor
Y54E10BR.1	WP:CE34410	141	-0.452905685	104	long	51	134	231	15	216	97.78014184	82.78224722	49.61183973	0.382481103	poor
Y54E10BR.2	WP:CE22471	184	-0.068895081	95	long	58.5	121	213	23	190	92.38586957	82.672925	39.95796727	0.384615385	poor
Y54E10BR.3	WP:CE22470	420	1.12178848	78	medium	48	117	231	5	226	87.21904762	72.67636295	50.08944019	0.437931034	moderate
Y54E10BR.4	WP:CE27481	638	1.724955577	66	short	42	98	231	5	226	73.92476489	63.95256586	39.56206958	0.398280802	poor
Y54E10BR.5	WP:CE22466	1925	3.318185693	59	short	39	86	231	6	225	65.46753247	57.7204486	32.61956405	0.543859649	moderate
Y54E10BR.6	rpb-7	1303	2.755164331	69	short	49	94	231	7	224	73.05679202	66.46443302	30.9394948	0.57591623	moderate
C04H5.8	nlp-41	290	0.587452053	69	short	38.5	96	231	5	226	74.54482759	63.3851724	41.94388358		
C01C4.3	WP:CE30846	213	0.142252583	81	medium	51	136.5	231	11	220	96.88262911	78.34253609	59.2344774	0.373395326	poor
T14F9.2	WP:CE44925	130	-0.570089224	112	long	69.5	143.5	231	5	226	108.4	90.47485923	53.08898191	0.375	poor
ZK757.10	WP:CE46140	14	-3.785102115	72.5	medium	55.5	95.5	228	21	207	85.64285714	69.98546786	55.75149856	0.364864865	poor
H21P03.1	mbf-1	3306	4.098413972	62	short	45	85	231	5	226	67.62401694	60.84917749	30.76095634	0.527027027	moderate
T14F9.4	peb-1	225	0.221324154	96	long	56	130.5	230	7	223	94.85333333	79.00385346	48.72599854	0.413373048	moderate
F27C8.6	trcs-1	209	0.114902095	59	short	39	92	192	15	177	66.81818182	57.12948484	35.50881627	0.448019802	moderate
Y47G6A.14	WP:CE34401	179	-0.10864126	83	medium	46	124	229	17	212	87.97765363	75.56893896	45.65537108	0.45814978	moderate
Y47G6A.15	WP:CE22105	2990	3.953472732	83	medium	67	104	231	8	223	86.47391304	81.16464709	29.58573204	0.391941392	poor
Y47G6A.12	1-Sep	509	1.399064809	74	medium	49	103	214	8	206	77.53831041	66.79959435	37.86384726	0.400167785	moderate
Y47G6A.13	WP:CE22097	43	-2.166192283	54	short	36.5	79	231	18	213	66.13953488	55.42363366	43.89765126	0.432126697	moderate
Y47G6A.10	spg-7	23	-3.068895081	61	short	46.5	74	188	23	165	65.56521739	59.42758871	33.35165218	0.431968296	moderate
Y47G6A.11	msh-6	196	0.022252807	92	medium	60.5	115	231	13	218	92.14285714	83.76723963	38.22556576	0.355575066	poor
F44C8.9	nhr-184	50	-1.948600847	120.5	long	87	144.5	231	19	212	119.98	107.5707058	48.94711023	0.379701311	poor
Y47G6A.18	WP:CE22101	150	-0.363638347	90	medium	67.5	120	231	14	217	94.62666667	84.45141684	40.43291508	0.38576779	poor
Y47G6A.19	WP:CE48428	1810	3.229316945	89	medium	66	112	231	5	226	91.24364641	83.21306394	37.21549573	0.405739186	moderate
F01D5.2	WP:CE18560	198	0.036899583	44.5	short	33	63	183	8	175	51.71212121	45.64027893	27.83778688	0.372093023	poor
F01D5.1	WP:CE18559	2995	3.95588325	53	short	36	70	231	5	226	56.76327212	51.21208342	26.63792444	0.523255814	moderate
F01D5.7	WP:CE35448	13	-3.892017319	81	medium	63.5	90.5	114	14	100	73	64.98743974	27.57367753	0.461414158	moderate
F01D5.6	WP:CE18563	142	-0.442709918	79.5	medium	44	120	231	12	219	84.52816901	69.47188427	49.02711145	0.449877751	moderate
F01D5.5	WP:CE18562	2306	3.57871976	63.5	short	38	101	231	8	223	73.58456201	61.07755826	44.53259236	0.496855346	moderate
F36F2.1	WP:CE15975	402	1.058594654	83.5	medium	49	120	231	12	219	88.87313433	74.8469143	48.81599449	0.375549451	poor
F36F2.2	WP:CE15976	212	0.135463417	92.5	medium	59	118	231	16	215	94.67924528	82.18492301	47.2073002	0.288256228	poor
F36F2.3	rbpl-1	2725	3.819583477	79	medium	57	110	231	5	226	84.14862385	75.75371623	36.2795305	0.403356564	moderate
F36F2.4	syx-7	672	1.799860386	97	long	72	122	231	10	221	97.07440476	88.77533677	37.89184718	0.380753138	poor
F36F2.5	tax-2	15	-3.685566442	112	long	80	154	231	33	198	119.2	105.7398725	53.68699408	0.285714286	poor
F36F2.6	fcp-1	363	0.911368701	98	long	74	126	209	18	191	99.80991736	91.93054199	37.31549226	0.31875	poor
F36F2.7	WP:CE34845	10	-4.270528942	64	short	47.5	114	131	5	126	74.4	55.43420864	42.71346392	0.272727273	poor
C39F7.2	madd-2	233	0.271729107	79	medium	37.5	129	231	8	223	86.00429185	65.26734742	53.99821153	0.433450199	moderate
F46F5.14	WP:CE35936	12	-4.007494537	72	medium	60	93	114	46	68	75.5	72.56609972	21.35610764	0.335329341	poor
E02C12.4	ttr-40	103	-0.90595651	86	medium	44.5	122.5	231	11	220	92.61165049	75.73771796	55.29062369	0.286764706	poor
C35C5.4	mig-2	296	0.616996328	88	medium	56	126.5	231	12	219	92.69594595	79.22944061	47.76747717	0.430107527	moderate
Y41D4B.4	WP:CE47574	10	-4.270528942	81.5	medium	49.5	136.5	166	37	129	93.5	81.59268736	46.59452758	0.377478429	poor
Y41D4B.5	rps-28	102910	9.058566616	38	short	31	54	231	5	226	45.51414828	41.56845764	21.77931578	0.78125	good
Y41D4B.7	nhr-87	26	-2.892017319	101.5	long	58.5	132	185	34	151	99.26923077	87.49432818	46.75925058	0.371757925	poor
Y41D4B.1	WP:CE48966	10	-4.270528942	77.5	medium	50.5	105	165	14	151	83	65.60666614	49.580238	0.390728477	poor
Y41D4B.9	nhr-122	93	-1.053298226	85	medium	49.5	111.5	231	15	216	87.58064516	74.03290929	49.66237029	0.353107345	poor
C35C5.5	lev-8	57	-1.759567023	111	long	58.5	137.5	223	17	206	103.3859649	90.34234866	47.04896829	0.332673267	poor
F21F8.7	asp-6	66534	8.429347113	55	short	38	80	231	5	226	62.52041062	55.49543653	31.88527955	0.736842105	good
F21F8.4	asp-12	125	-0.626672753	56	short	38	78	182	11	171	62.64	54.8842718	33.39231049	0.5234375	moderate
F21F8.5	WP:CE19404	43	-2.166192283	105	long	84	131	231	30	201	108.8837209	100.5046129	42.1785845	0.306306306	poor
F21F8.3	asp-5	13187	6.094371736	52	short	37	65	231	5	226	55.13968302	50.76231564	23.33064842	0.706806283	good
T13F2.12	ssp-36	33	-2.548062918	70	short	58.5	85	139	36	103	74.15151515	70.53233947	24.15495584	0.368932039	poor
F54C9.8	puf-5	60	-1.685566442	57	short	31.5	88	137	16	121	62.8	52.25730457	35.52173044	0.556190476	moderate
F54C9.9	WP:CE20865	521	1.432682525	82	medium	61	108.5	231	7	224	89.16122841	80.97532578	39.63423114	0.384078212	poor
F54C9.1	iff-2	30298	7.294477905	70	short	53	91.5	231	5	226	75.63750083	70.04225386	30.38984151	0.790849673	good
F54C9.2	stc-1	1770	3.197076608	73	medium	48.5	99	231	8	223	76.75480226	67.68697081	37.1985935	0.310657596	poor
F54C9.3	WP:CE02253	7699	5.317998318	93	medium	72	111	231	5	226	91.99532407	85.74225295	31.44693064	0.341772152	poor
F54C9.4	col-38	1844	3.256165903	83	medium	63	103	231	5	226	85.8335141	78.46535776	35.43096836	0.637992832	moderate
F54C9.5	rpl-5	47763	7.951148798	42	short	34	59	231	5	226	49.45646212	45.29570755	22.94075894	0.782758621	good
F54C9.6	bcs-1	372	0.946701774	73	medium	52	94	231	13	218	76.65322581	69.19088243	35.09297429	0.302748385	poor
F54C9.7	WP:CE02257	40	-2.270528942	78	medium	47	112	182	15	167	80	68.36191399	40.9920724	0.350769231	poor
Y38C1AA.9	WP:CE25243	155	-0.316332632	80	medium	50	107	231	16	215	83.56129032	72.28820185	42.63000365	0.412790698	moderate
Y19D10A.8	WP:CE39815	135	-0.51564144	56	short	31	80	218	15	203	61.21481481	52.27847465	35.1943567	0.374677003	poor
Y57E12AL.6	WP:CE22635	4741	4.61851864	60	short	37	88	231	5	226	64.96688462	57.19987033	31.76545359	0.64516129	moderate
Y38C1AA.1	WP:CE33860	260	0.429910776	83	medium	60.5	117.5	231	14	217	89.51538462	78.51413228	42.57974141	0.343661237	poor
Y38C1AA.3	pnc-1	343	0.829607729	80	medium	54	111	231	10	221	89.90087464	77.37541371	49.8047684	0.451185645	moderate
Y38C1AA.2	csn-3	719	1.897390923	60	short	39	88	231	10	221	67.10848401	58.48347416	35.35749352	0.341614907	poor
Y38C1AA.5	cutl-24	253	0.390536537	106	long	73	137	230	8	222	105.2924901	93.44219091	44.64831197	0.394914596	poor
Y38C1AA.4	tcl-2	186	-0.053298226	93.5	medium	62.5	124	231	7	224	94.18817204	82.17396932	43.24563587	0.328577433	poor
Y38C1AA.7	WP:CE25245	632	1.711323711	74	medium	62	94	226	13	213	80.76898734	76.08279032	28.70562817	0.620253165	moderate
F01D5.9	cyp-37A1	369	0.935019969	56	short	34	86	195	12	183	63.88346883	54.28198487	35.90751403	0.40376569	moderate
C49C3.5	ceh-88	305	0.660208395	109	long	70	140.5	231	14	217	109.2590164	95.52692694	51.10120263	0.32	poor
C49C3.4	WP:CE19743	1139	2.561094994	64	short	49	85	219	5	214	70.66549605	64.31932147	30.83200329	0.366740625	poor
C49C3.7	WP:CE19746	204	0.079968305	54	short	39	83	182	5	177	65.81862745	56.44752104	36.85386411	0.350943396	poor
C47D12.8	xpf-1	495	1.358827678	62	short	40	105.5	231	8	223	75.90707071	62.35119108	46.88360238	0.375964719	poor
C49C3.1	snf-9	114	-0.759567023	104	long	82	128.5	231	15	216	106.4122807	97.29259648	42.04212829	0.340298507	poor
C47D12.3	sfxn-1.4	70	-1.46317402	56.5	short	39	77	164	15	149	62.55714286	55.62886092	30.51165385	0.39991522	poor
C47D12.2	WP:CE20567	436	1.175727288	81.5	medium	54	111.5	231	5	226	85.68348624	74.76897608	41.29537596	0.423652695	moderate
C47D12.1	trr-1	186	-0.053298226	92	medium	60.5	119	231	11	220	93.33870968	82.72944884	42.20480412	0.379373296	poor
F44C8.1	cyp-33C4	31	-2.638260727	108	long	68	150	231	17	214	112	93.51145835	58.84808216	0.424050633	moderate
C47D12.7	kel-1	128	-0.592457037	83	medium	50.5	118	200	6	194	85.4375	72.71252588	44.13097516	0.386948703	poor
C47D12.6	tars-1	2083	3.431990087	81	medium	61	102	231	6	225	82.26692271	76.52019519	29.22025214	0.568646051	moderate
C47D12.5	WP:CE43335	175	-0.141245925	75	medium	53	100	231	18	213	80.32571429	72.61338618	35.80665814	0.422641509	moderate
F44C8.5	nhr-128	32	-2.592457037	103	long	77.5	151.5	223	20	203	108.625	93.78564366	50.7855479	0.360824742	poor
W04A4.2	WP:CE42178	14	-3.785102115	119	long	106.5	148.5	231	51	180	127.6428571	119.9353819	44.26641284	0.316239316	poor
W04A4.5	WP:CE25138	166	-0.217417606	74	medium	58	97.5	230	5	225	80.54216867	72.38262461	35.54982968	0.288610039	poor
W04A4.6	WP:CE35042	298	0.626711483	100.5	long	70.5	120	231	16	215	98.7885906	90.35856358	38.62787885	0.290502793	poor
Y57G11A.4	WP:CE40533	458	1.246746751	77	medium	49	105.5	230	13	217	80.01528384	69.02721624	40.59419186	0.379032258	poor
T08G5.5	vps-39	245	0.344180902	89	medium	60.5	118	231	5	226	93.69387755	79.91958515	47.12138216	0.356427251	poor
Y113G7B.16	cdkr-3	840	2.12178848	85	medium	64	107	231	8	223	86.6797619	79.53396712	33.02987205	0.444915254	moderate
C35C5.8	WP:CE34161	160	-0.270528942	123	long	97	150.5	231	24	207	122.90625	112.9393142	45.14723093	0.293195719	poor
Y22D7AL.10	WP:CE27242	5398	4.805752224	82	medium	63	102	231	5	226	83.48073361	77.31849435	30.20927837	0.773584906	good
Y22D7AL.11	WP:CE39039	36	-2.422532036	113	long	72	173	231	14	217	125.3888889	106.0424684	62.31072575	0.336798337	poor
Y22D7AL.14	cht-4	131	-0.559034036	53	short	37.5	80.5	172	18	154	62.59541985	55.14304635	33.22345778	0.31884058	poor
Y22D7AL.15	WP:CE30213	765	1.9868589	78	medium	49	105.5	231	13	218	79.61568627	70.11205923	37.72301896	0.406896552	moderate
F41C3.8	WP:CE39734	203	0.07287888	92	medium	53.5	133.5	231	10	221	99.98522167	83.05353213	56.40393357	0.342280401	poor
F53B2.8	WP:CE28030	1292	2.742933317	104	long	82	126	231	9	222	104.9218266	97.50279922	38.11124242	0.418994413	moderate
F41C3.4	WP:CE39501	685	1.827503141	83	medium	57.5	109	231	7	224	84.40583942	75.48933	36.0594638	0.470588235	moderate
F41C3.5	WP:CE02733	31245	7.338880682	63	short	40	85	231	5	226	65.54303088	58.51771067	30.49927707	0.561797753	moderate
F41C3.2	WP:CE39500	573	1.569934291	94	medium	64	124.5	231	13	218	96.52705061	86.1179618	42.60142053	0.433054393	moderate
Y48G8AR.1	grh-1	16	-3.592457037	142	long	84.5	173	231	34	197	132.5	118.895171	53.4918218	0.394647145	poor
C04G6.10	WP:CE27649	19	-3.344529524	94	medium	68.5	126.5	152	52	100	98.47368421	92.95739272	32.18428584	0.503030303	moderate
F28H6.4	WP:CE23688	50	-1.948600847	111	long	44	134	231	13	218	96.68	74.50514622	58.44773392	0.359585492	poor
C54F6.14	ftn-1	653	1.758482144	113	long	89	141.5	231	16	215	116.6385911	107.3702735	44.54185202	0.515151515	moderate
C54F6.10	str-31	50	-1.948600847	102.5	long	67	165.5	231	12	219	118.44	97.24796844	68.27449304	0.300940439	poor
C54F6.13	nhx-3	140	-0.46317402	114	long	83	144	231	8	223	110.7642857	97.30709405	47.96034235	0.35024102	poor
C54F6.12	WP:CE35259	17	-3.504994196	97	long	57.5	138.5	193	24	169	96.76470588	81.65616222	53.65305694	0.294117647	poor
C53D6.4	WP:CE45506	152	-0.344529524	63	short	40.5	88.5	173	13	160	69.11842105	60.70417771	34.24657766	0.312411736	poor
K07F5.1	msp-81	325	0.751838871	58	short	45.5	69	203	15	188	59.32307692	55.84936877	21.09123602	0.68852459	moderate
F41H10.8	elo-6	5178	4.745722213	78	medium	54	100	231	5	226	80.46234067	71.27557766	38.92463615	0.468503937	moderate
F28B3.10	WP:CE28924	2109	3.449886343	87	medium	68	109	231	9	222	88.71882409	82.30623157	31.98344657	0.568493151	moderate
F41H10.4	WP:CE27162	785	2.024091807	107	long	82	132	231	12	219	109.0649682	100.9666916	40.5097407	0.321492007	poor
F41H10.5	WP:CE10280	73	-1.402632478	80	medium	67	98.5	231	21	210	82.98630137	75.65739581	34.67322727	0.446153846	moderate
F41H10.6	hda-6	475	1.299326666	84	medium	50	125.5	231	7	224	92.78736842	77.28062843	53.60902368		
F41H10.7	elo-5	3225	4.062626408	70	short	38	103	231	5	226	79.17395349	63.52302433	52.83569211	0.442119824	moderate
T06C12.6	nhr-102	114	-0.759567023	104	long	67	134	231	13	218	103.2105263	89.0522273	50.11906415	0.3125	poor
F41H10.1	WP:CE49355	45	-2.100603941	64	short	43	87	231	19	212	70.55555556	59.87529351	41.94152308	0.371727749	poor
T06C12.4	fbxa-197	74	-1.383003672	62	short	47	97	169	21	148	71.91891892	64.79865365	32.71075398	0.353932584	poor
F41H10.3	WP:CE10276	278	0.526484035	77	medium	45	112.5	229	9	220	81.6942446	67.48436216	44.45638922	0.292695655	poor
F49H12.5	WP:CE20835	4739	4.617909908	89	medium	68	116	231	5	226	92.76640641	85.23361947	36.04953806	0.623015873	moderate
C53D6.7	WP:CE45561	299	0.631544637	64	short	39	94.5	231	11	220	71.17056856	59.88881093	41.02199023	0.349673203	poor
Y48G1BR.1	WP:CE49441	52	-1.892017319	61.5	short	48	85.5	145	13	132	67.30769231	61.3875652	27.52658747	0.38996139	poor
C49F8.1	WP:CE05456	367	0.927179216	97	long	68	126	231	7	224	97.7520436	88.08008117	40.68830265	0.427848101	moderate
C49F8.3	WP:CE05458	2572	3.73621789	65	short	45	89	231	5	226	68.88724728	61.5678047	31.77328625	0.491017964	moderate
C49F8.2	gem-1	159	-0.279574082	108	long	72.5	133.5	231	13	218	105.9119497	94.56454253	43.60996131	0.457880435	moderate
Y94A7B.11	WP:CE41602	121	-0.6735938	52	short	29.5	77	138	12	126	56.02479339	46.92049699	31.60015242	0.360655738	poor
T09F5.1	WP:CE13521	37	-2.383003672	84	medium	58.5	103	198	17	181	84.08108108	75.72902776	37.08309032	0.321656051	poor
Y46H3D.6	nhr-237	31	-2.638260727	101	long	35.5	130.5	227	15	212	89.77419355	69.99219587	55.32176243	0.28742515	poor
Y46H3D.7	nhr-238	67	-1.526367847	104	long	67.5	123.5	231	14	217	100.2835821	85.65994527	47.19246271	0.294670846	poor
C15C8.3	asp-10	5151	4.738179787	70	short	46	103	231	8	223	79.20520287	68.04813591	43.570244	0.477019862	moderate
Y46H3D.5	nhr-110	73	-1.402632478	123	long	100	156	231	16	215	127.4520548	117.742054	45.68445708	0.323157138	poor
F54F11.1	WP:CE20872	10	-4.270528942	112	long	60	130.5	155	39	116	100.3	90.70008386	41.09513353	0.357664234	poor
C15C8.4	WP:CE39472	226	0.227721925	90	medium	58.5	116	217	8	209	88.99115044	77.03397904	42.06431981	0.301282051	poor
C06G8.3	WP:CE41351	1553	3.008385077	104	long	73	137	231	9	222	107.7385705	95.39565692	48.52759161	0.348131868	poor
F54F11.2	nep-17	1934	3.324915042	63	short	41	88	231	6	225	68.69648397	60.4906579	35.19344412	0.593657973	moderate
K12H4.8	dcr-1	524	1.440965964	87	medium	58	114	231	13	218	88.94083969	78.13147606	42.39912064	0.328277356	poor
Y41E3.9	fcd-2	369	0.935019969	92	medium	61	116.5	231	15	216	91.55826558	82.53522901	39.50469072	0.357379641	poor
Y41E3.8	WP:CE18376	363	0.911368701	85	medium	68	109	231	12	219	90.49862259	83.46353448	35.11573738	0.50862069	moderate
K12H4.3	WP:CE00268	1995	3.369715994	80	medium	55	111.5	231	8	223	85.38897243	75.46059264	40.58922013	0.48816568	moderate
K12H4.2	WP:CE38528	67	-1.526367847	92	medium	64	123	231	13	218	95.46268657	85.05497242	42.41772664	0.315217391	poor
K12H4.1	pros-1	48	-2.007494537	102	long	56.5	138	206	9	197	97.27083333	80.42884086	50.31100757	0.392361111	poor
K12H4.7	WP:CE32696	9293	5.589471655	53	short	36	77	231	6	225	59.1967072	52.90963205	28.88225953	0.501106195	moderate
K12H4.5	WP:CE00270	3462	4.164932972	67	short	51	86	231	11	220	70.1140959	64.796164	28.13941489	0.516483516	moderate
K12H4.4	WP:CE00269	1839	3.252248727	74	medium	48	102	231	8	223	78.11528004	68.44730862	38.32958272	0.471264368	moderate
K10C3.6	nhr-49	1368	2.825395478	82	medium	50	114	231	8	223	84.55336257	71.54892723	43.64106408	0.383699602	poor
K10C3.5	WP:CE38396	513	1.410357978	96	long	69	128.5	231	15	216	101.0097466	92.19265012	41.35094303	0.323305143	poor
K10C3.4	WP:CE45803	961	2.315935584	102	long	62.5	138	231	7	224	102.2861603	87.55954506	48.94442798		
K10C3.3	zig-1	342	0.825395478	83	medium	56.5	109	231	12	219	86.27777778	75.09877967	43.16419796	0.365758755	poor
K10C3.2	ensa-1	2675	3.792866139	96	long	64	126	231	5	226	96.86280374	85.6284807	43.56528949	0.438596491	moderate
F58H7.1	WP:CE17930	44	-2.133025419	83.5	medium	44	106	194	16	178	80.86363636	67.64573681	41.67438221	0.392255892	poor
C06E8.3	prk-1	341	0.821170892	97	long	67	124	231	7	224	94.65982405	80.83312895	43.90126684	0.337976651	poor
Y43C5B.3	WP:CE36622	23	-3.068895081	68	short	55	123	182	24	158	85.17391304	73.5928002	47.18939838	0.362229102	poor
C06E8.5	WP:CE41979	232	0.265523958	103.5	long	66	143	231	9	222	106.4698276	91.45564127	52.8797346	0.386690647	poor
B0393.9	WP:CE41346	248	0.361739273	94	medium	62.5	127	231	7	224	100.4395161	86.56793451	51.97491225	0.320701136	poor
